Marca temporal;¿Cuál consideras que es la principal razón por la que muchos jóvenes universitarios no desean tener hijos actualmente?;¿Crees que el costo de vida actual influye en la decisión de no tener hijos?;"¿Qué tanto influye el miedo al futuro (crisis social, ambiental, inseguridad) en la decisión de no tener hijos?

";"¿Consideras que la falta de apoyo estatal (guarderías, becas, empleos estables) desmotiva a los jóvenes a tener hijos?

";¿Planeas tener hijos en el futuro?
10/21/2025 15:45:32;Motivos económicos;Sí, mucho;Mucho;No estoy seguro/a;Tal vez / Aún no lo he decidido
10/21/2025 15:51:33;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional, Falta de interés en formar una familia;Sí, mucho;Mucho;No estoy seguro/a;No
10/21/2025 18:50:36;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional, Falta de interés en formar una familia;Sí, mucho;Regular;No;Sí
10/25/2025 20:30:00;Deseo de priorizar estudios o carrera profesional, Falta de interés en formar una familia;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
10/28/2025 11:46:33;Falta de estabilidad laboral;Nada;Nada;No estoy seguro/a;Tal vez / Aún no lo he decidido
10/28/2025 12:00:10;Motivos económicos;Algo;Mucho;No;No
10/28/2025 12:01:51;Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
10/28/2025 12:03:53;Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;Sí;Sí
10/28/2025 15:45:32;Falta de estabilidad laboral, Falta de interés en formar una familia;Sí, mucho;Regular;No estoy seguro/a;Tal vez / Aún no lo he decidido
11/4/2025 10:55:34;Motivos económicos, Falta de estabilidad laboral;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
11/4/2025 11:22:59;Falta de estabilidad laboral, Falta de interés en formar una familia;Sí, mucho;Regular;Sí;Tal vez / Aún no lo he decidido
11/4/2025 11:38:40;Falta de interés en formar una familia;Algo;Regular;Sí;Tal vez / Aún no lo he decidido
11/4/2025 14:04:49;Falta de estabilidad laboral;Algo;Mucho;Sí;Tal vez / Aún no lo he decidido
11/4/2025 15:00:13;Motivos económicos;Sí, mucho;Poco;Sí;Sí
11/4/2025 21:14:41;Motivos económicos;Sí, mucho;Mucho;Sí;Sí
11/4/2025 21:45:24;Falta de estabilidad laboral;Sí, mucho;Regular;Sí;Tal vez / Aún no lo he decidido
11/4/2025 21:47:05;Motivos económicos, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;Sí;No
11/4/2025 21:49:55;Deseo de priorizar estudios o carrera profesional;Poco;Regular;Sí;Sí
11/4/2025 21:57:52;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Regular;No;Sí
11/4/2025 21:57:52;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Regular;No;Sí
11/4/2025 21:58:25;Falta de estabilidad laboral;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
11/4/2025 21:59:36;Falta de estabilidad laboral;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
11/4/2025 22:35:42;Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;No estoy seguro/a;Sí
11/4/2025 22:57:02;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Poco;No;Sí
11/4/2025 23:13:41;Motivos económicos, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;No estoy seguro/a;Sí
11/4/2025 23:36:40;Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;Sí;Tal vez / Aún no lo he decidido
11/19/2025 19:40:11;Motivos económicos, Falta de interés en formar una familia;Sí, mucho;Regular;No estoy seguro/a;No
11/19/2025 19:40:51;Motivos económicos, Falta de estabilidad laboral, Falta de interés en formar una familia;Sí, mucho;Poco;No estoy seguro/a;Sí
11/19/2025 19:41:16;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Algo;Mucho;Sí;Sí
11/19/2025 19:41:29;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Mucho;No estoy seguro/a;Sí
11/19/2025 19:41:49;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Regular;No estoy seguro/a;Sí
11/19/2025 19:42:08;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Poco;Regular;Sí;Sí
11/19/2025 19:42:25;Motivos económicos, Falta de estabilidad laboral, Deseo de priorizar estudios o carrera profesional;Sí, mucho;Regular;No estoy seguro/a;Sí
11/19/2025 19:42:46;Motivos económicos, Deseo de priorizar estudios o carrera profesional, Falta de interés en formar una familia;Sí, mucho;Regular;Sí;Sí
11/19/2025 19:43:08;Deseo de priorizar estudios o carrera profesional, Falta de interés en formar una familia;Sí, mucho;Poco;Sí;Sí
11/19/2025 19:43:32;Falta de estabilidad laboral, Falta de interés en formar una familia;Sí, mucho;Mucho;Sí;Sí
11/19/2025 19:47:59;Motivos económicos;Sí, mucho;Mucho;No estoy seguro/a;Tal vez / Aún no lo he decidido
